标题,中文摘要
大群体偏好下的信息融合与共识理论及其在推荐系统中的应用研究,大群体决策呈现出决策参与人不再局限于某领域专家、决策信息来自异时异地等新特点，是一种更适应于互联网+时代下的决策方式。本项目分析已有研究的局限性，提炼出大群体偏好信息下的信息融合与集结、不完全信息处理及共识一致性等关键问题。（1）提出大群体环境下基于犹豫信息的信息融合理论。发展可能性分布理论，为包含犹豫信息的偏好信息融合提供新的工具。（2）提出基于统计分析的不完全信息估计方法。设计缺失信息的可估计判别准则，利用个体信息、子群体信息、其他子群体信息，给出估计缺失信息的新方法。（3）建立大群体环境下的共识决策模型。考虑共识过程中的约束条件（如成本、时间），设计交互式或自动化共识模型；分析个体或子群体的策略操纵行为，探讨控制策略。（4）拓展大群体决策理论到具有广泛商业应用前景的群体推荐系领域，改进其推荐有效性。研究结果旨在为解决大群体偏好信息下的决策问题提供借鉴，推动现有理论研究的深化。
基于风险管理的综合风险模型及其应用研究,风险管理是保险公司的永恒主题，随着保险业大量资金进入资本市场的趋势愈发显著，保险公司除了应对极端自然灾害事件带来的保险风险之外，还面临着利率变动，投资收益率下降以及其他金融风险，并且各类风险呈现较强的相依性。. 本项目将在综合风险模型的框架下探讨保险业关注的一类风险测度--破产概率的渐近估计，在之前的研究基础上，进一步研究具有相依结构的模型假设下，有关破产概率的若干前沿问题。如金融风险和保险风险的作用机理，以及多类险种相互作用对破产概率的影响，研究对象和研究方法设计概率论，保险精算，风险管理以及随机模拟等多个领域，具有较强的理论价值，与潜在的应用背景。
大型资源网络的黑洞效应、多稳定域与资源损失评价研究,在大型资源网络中，部署、调配与优化各类资源，特别是在物联网与大数据环境下，尽力提升系统的总体工作效率、经济效益并能减少网络资源损失，这是国际上大型资源网络及其资源管理领域中一个新的重大研究课题。本项目旨在针对这种大型资源网络及其资源管理进行数学建模，发展能够研究黑洞效应、多稳定域、网络资源损失评价等的基础理论与关键技术。基于此，本项目的研究内容包括：（1）针对四类实际的大型资源网络，利用排队网络、马氏过程与平均场理论进行数学建模，通过非线性马氏过程理论研究系统的黑洞效应、多稳定域与网络资源损失评价等重要问题；（2）提炼普适大型资源网络的体系架构与关键因素，建立一套新的随机过程序列的极限理论，研究黑洞效应、多稳定域、网络资源损失评价以及它们之间的内在关系；（3）提供减弱黑洞效应或者限制多稳定域转移的管控策略。本项目的研究成果将为提高我国大型资源网络管理水平，提供一些原始理论创新与实践指导。
城市矿产开发利用的多态不确定性与非线性性特征及集成决策优化理论与算法,城市矿产开发利用不仅具有一定的经济效益，更具有显著的环境与社会效用。本项目利用数学建模方法和现代优化理论与方法，从城市矿产的来源，矿产利用的主体和典型区域三个维度，重点研究城市矿产开发利用中诸多因素的多态不确定性和因素之间的非线性性特征；在合理的场景设置下分别建立靶向城市矿产综合开发利用的集成决策优化模型，即在同一个模型中，既实现上层水平优化问题中政府管理决策的生态社会效用极大化，也保证下层水平优化问题中城市矿产回收利用企业生产的经济利润最大化，因而所建立的模型属于不确定性环境下的双层规划问题；针对所建立的非线性多态不确定优化模型的复杂性，本项目基于现代优化思想和计算机技术，研究求解该类模型的柔性优化方法和高效的交互式数值算法。项目的完成能够弥补现有理论与方法的不足，为我国城市矿产综合开发利用中统一政府和企业决策优化提供科学理论保证，并发挥实践指导作用。
参考点视角下的适应性行为资产定价研究,行为金融学的兴起见证了心理学规律在资产定价领域的广泛应用。本申请的目标是将一些关于心理适应性（即心理偏差受市场因素影响而变动）的深刻见解用于扩展现有的行为资产定价研究。参考点依赖是我们的研究起点，即决策者会根据其参考点将所处情形区分成好坏两种不同状态。在此基础上，我们考虑三种心理适应机制：1）关于价格成本结构的适应性参考点，2）关于盈利和亏损境况的适应性信心与学习模式，3）关于信息质量的适应性损失厌恶。在理论研究方面，本申请拟建立基于这些心理适应机制的市场均衡定价模型（包括噪音投资者模型和代表性个体模型）、明确这些心理适应性机制对于市场均衡的可能影响、推动行为资产定价研究在心理与市场互动维度上的深度和广度。在实证研究方面，本申请定位于在上述心理适应机制及其定价含义的基础上提炼一些新的分析视角，加深对一些具体的中国股票市场异常现象的成因的理解，揭示中国股票市场定价过程更多的心理本质属性。
产品层级体系下电商用户的分层信任网络建模与多样化推荐,在大数据背景下，干扰信息和恶意用户大量存在，用户间的信任对在线购物决策起到重要作用。许多大型电商平台为方便用户购物，往往按产品类别来组织产品，形成一套完整的产品层级体系。在此体系下，该课题基于用户的在线评论，研究对应于产品层级的用户分层信任网络的构建及其推荐问题。首先对用户之间的信任关系的建立机制进行研究，基于此提出用户间信任关系推理算法。然后基于评论挖掘，分别构建产品和用户的信息属性模型。在此基础上，针对电商平台的产品层级体系，考虑到用户间信任关系对产品类的情景依赖性，研究由底层到顶层逐层递进的分层信任网络的构建策略。基于分层信任网络，研究推荐策略，实现满足用户多样化需求的个性化推荐。最后进行课题方法的评价与应用研究。通过课题研究，在理论上，力图完善信任网络以及信任推荐的理论体系；在实践中，面对电商实际存在的产品层级体系，力求为用户提供可靠的、多样化的产品推荐，为其在线购物提供决策支持。
基于动态不确定因果图的概率安全评价新方法研究,核电站等大型复杂系统概率安全评价PSA非常重要。目前采用的PSA方法主要基于事件树和故障树，要对每一个初因事件建造事件树，每棵事件树关联若干故障树。这些事件树和故障树彼此未必独立、可能存在逻辑循环，因果关系被假定为确定的和二态的，导致评估结果可能偏离实际且偏乐观。此外，这种方法工作量大，重复性多，整体性不强，理论不严谨。动态不确定因果图（DUCG）是申请人原创的一种概率图人工智能理论模型，已成功用于核电、化工、航天等大型复杂系统的在线故障监测、预报、诊断、预测和决策支持。已完成的实验结果正确率100%。本项研究拟将DUCG理论用于PSA分析，以克服现有方法之不足，是本领域的一项开创性技术方案，具备严谨的理论基础。本项目拟开展四项研究：1、理论和算法构建；2、手算算例验证；3、开发实现本理论的系统软件；4、核电站工程实例验证。本项目以清华核研院高温气冷堆为验证对象，具备理想的研究条件。
信息驱动的重大工程全景式决策模式与信息治理研究,"由于受到工程本身的物理强关联结构、环境大尺度演化、主体认识能力不足、以及复杂的自然社会经济环境等因素的影响,重大工程的决策具有深度不确定性特征,再加上客观上的信息需求量大以及主观上的主体偏好等方面的原因，特别在考虑互联网的环境下，重大工程决策过程中存在着信息短缺与信息过剩并存的问题。本项目首先对重大工程决策信息的科学性内涵以及典型特征进行剖析；基于扎根分析法研究信息与重大工程决策质量之间复杂的相互关系与作用机理；在此基础上从提高决策方案鲁棒性视角，构建信息驱动下的全景式重大工程决策范式；从保证决策过程规范性角度，基于递阶式委托代理理论，研究重大工程决策信息治理行为与机制，并且研究了互联网时代下，基于网络数据挖掘技术的社会信息利用与引导机制。本课题研究在一定程度上扩展了工程管理研究的前沿,为有效利用重大工程决策信息,提高决策质量提供了理论支持与管理建议。"
大规模对地观测卫星组网统筹运控理论与方法,随着对地观测卫星技术发展，包括敏捷卫星、微小卫星新一代技术也正日趋成熟，卫星类型和数量正逐步扩大，大规模组网已逐步具备现实的硬件基础，探索国家层面上如何统筹运控成为一项重要研究课题。资源完全分散在多个重要部门不利于统筹运控管理，而资源完全集中又缺少各部门精细化管理的灵活性。为此，本项目面向大规模卫星组网提出群运控模式，兼顾精细化管理与统筹运控需求，实现带有多个重要部门协调的统筹运控管理；本项目考虑多种业务融合下的运控需求，建立协同式群规划模型，实现包括光学成像卫星、电子侦察卫星、测绘卫星等多类型大规模卫星组网的群规划技术；提出智能协同优化求解方法，从领域启发信息挖掘、组合算法优化、分布并行式处理、自适应智能协同工作等角度探索实际大规模运控系统求解技术；应用贝叶斯网络进行风险评估，探寻风险控制手段，将鲁棒性要素纳入统筹运控中，提高群运控风险应对的鲁棒性。
城市地铁施工安全风险云的分布演化机理与控制方法研究,城市地铁施工安全风险云是城市地铁施工系统安全状态及其时空分布情况的综合反映，并随着施工过程在时空尺度上不断涌现、演化直至灾变，但国内外对此缺乏系统认识和研究。本课题结合复杂网络、数据驱动、解耦控制等理论方法，采用理论建模、数据挖掘、计算实验、工程验证等多种研究手段，重点围绕城市地铁施工安全风险云的分布演化机理与控制方法这一主题开展系统性研究。通过分析地铁施工安全风险的时空分布特征及时空差异特性，明确地铁施工安全风险云的内涵界定，深入研究地铁施工安全风险云的影响因素及其异质耦合机理；建立基于多主体复杂网络的地铁施工安全风险云模型，揭示地铁施工安全风险云的时空动力效应与灾变演化规律；构建基于数据驱动的地铁施工安全风险云概率分布估计方法，提出基于解耦原理的地铁施工安全风险动态控制策略，为城市地铁施工安全风险分析决策提供理论依据和方法支持，对提高我国城市地铁施工安全管理水平具有重要理论和实践意义。
在线面孔诱导用户选择偏好研究：行为学与脑神经机制视角,在线面孔是打开互联网用户心灵之门的一把钥匙。如何促进吸引用户眼睛、激发用户情感，诱导用户选择行为，是信息管理与消费者行为研究领域中的一个重要且有趣的研究问题。本项目首先采用眼动记录、行为学实验、和问卷调查等研究方法，针对有无在线面孔、不同特征在线面孔、不同特征在线面孔与不同类型产品的匹配三个研究对象，层层递进地分析了在线面孔对用户选择行为的诱导作用，包括浏览轨迹、情感体验和理性体验等方面，构建了在线面孔的用户选择行为诱导理论模型。在此基础上，进一步从脑神经机制的角度，采用无创伤性的脑功能磁共振成像技术（fMRI），揭示在线面孔产生诱导作用的本质原因，打开人们选择行为的“黑箱”。本研究是对神经信息系统（NeuroIS）这个新兴交叉科学领域的前瞻性探索，有重要的科学价值和实践意义。
基于贝叶斯极端分位数回归的金融风险度量理论及应用研究,本项目以金融资产/机构/市场的收益率为研究对象，根据收益率的时间序列描述模型，利用贝叶斯统计推断理论和分位数回归建模技术，构建金融资产/机构/市场收益率的贝叶斯极端分位数回归模型，建立贝叶斯金融风险度量理论与方法。构建贝叶斯GARCH、MS-AR/SETAR极端分位数回归模型，进行VaR等金融风险度量；构建具有单向相依关系的贝叶斯极端分位数回归模型，估计CoVaR和风险溢出效应，研究金融风险与外生因素之间的结构关系；并运用贝叶斯模型平均方法估计ES和CoES；构建贝叶斯VAR-VAR极端分位数回归模型，研究金融风险的交互相依关系，脉冲响应函数和风险转染问题。.本项目通过金融资产/机构/市场收益率的贝叶斯极端分位数回归分析，提供金融风险度量建模工具，解决参数不确定性条件下VaR和CoVaR金融风险度量问题，提出ES和CoES的贝叶斯模型平均估计方法，据此解决VaR和CoVaR的非一致性问题。
移动社交网络中隐私泄露风险度量研究,移动社交网络正在深刻影响人们的日常生活。一方面移动社交网络为用户提供各种便捷的服务及社交体验（例如：用户利用手机实时地获取位置信息，查找附近的咖啡馆、酒店等，并与朋友分享带有位置标签的内容）；另一方面社交网络中用户又面临着隐私泄露的巨大挑战（例如：用户的位置，照片，评论分享，服务商、广告商通过移动终端对个人信息的采集等）。现有的研究通常只针对隐私泄露的某一方面从技术的角度进行隐私保护，却很少从风险度量的角度探讨。本项目就是针对移动社交网络中的隐私泄露问题，从人的因素、软件的因素、经济因素等方面进行隐私泄露风险度量研究。本项目首先采用攻击防护树模型形象地对当前存在的隐私泄露途径及防护措施进行刻画，其次利用马尔可夫方法及机器学习方法对移动社交网络中用户行为及应用软件权限进行风险度量，最后引入经济博弈模型对移动社交网络中隐私的攻防双方的行为策略进行分析，为移动社交网络隐私安全管理提供策略支持。
工程施工团队质量行为适应性机理、异化路径与防范机制研究,我国工程建设屡屡暴露出质量问题，实践表明施工团队质量行为异化是导致质量事故频发的最为重要的因素之一。由于施工团队质量行为具有情景依赖性、多元目标谱等复杂性特征，防范质量行为异化的实践效果并不理想。本项目基于行为适应性与复杂性视角，通过融合工程质量管理、质性研究、情景模拟等多学科理论与方法，提炼影响施工团队质量行为的因素，厘清其对质量行为的作用途径、影响效能及其传导机理；分析行为异化情景下施工团队多元目标谱的重构机理，明晰质量行为异化成因；研究主体与施工团队的目标与利益冲突以及主体之间关联机制的动态变化对施工团队质量行为演化与异化路径的影响，分析主体机会主义行为与施工团队质量行为异化之间的非线性关联机理；构建具有情景适应性的质量行为异化防范机制。本项目研究将为我们防范施工团队质量行为异化提供理论支撑与实践指导，对于丰富管理科学与工程理论，促进我国工程质量管理理论和方法创新具有重要意义。
中度偏离、泡沫与单位根过程的结构变化理论和应用研究——我国供给侧改革和金融监管的理论和实证依据,本项目由我国数据特征和国内外文献提炼出研究的理论问题：确定性趋势从低次到高次变化的单位根检验以及非线性非对称的单位根检验，其关键是检验统计量的渐近分布函数和有限样本性质及其随机趋势（有理论认为源于供给性冲击）的分解，由此为供给侧改革和经济新常态提供科学依据；将Philips等提出的中度偏离单位根扩展到带确定性趋势的中度偏离检验、将限于ADF框架的泡沫检验扩展到结构变化的泡沫检验，应用于我国金融数据，基于此评价市场运行；原创性地基于分布函数研究中度偏离、泡沫和（近）单位根过程的识别与转换，这一方向的关键是给出从中度偏离到（近）单位根的检验统计量和对应分布性质等，从而原创性地揭示中度偏离何时以及如何转换为单位根过程，将其应用于我国上证指数等是否从中度偏离转化为单位根，其结果直接作为是否干预（中度或泡沫）、什么时间干预（单位根转化为中度偏离）等问题的证据而体现出科学的现实意义，从而满足监管市场的迫切需要。
耐用品更新换代下以旧换新与产品架构决策问题研究,市场竞争加剧与技术飞速发展，加快了产品更新换代速度。为了获得更大的价值，顾客会不断升级产品。然而，很多耐用品升级代价大，会降低顾客升级产品的积极性。为了激励顾客升级产品，大多数企业会采用以旧换新、模块型架构等措施。企业面临的决策问题是采用整合型架构还是模块型架构、要不要推出以旧换新策略、应该推出哪种以旧换新策略。在现有研究基础上，我们将考虑更新换代模式、定价策略、新产品更新程度、旧产品折旧程度、模块型升级质量损失程度、旧产品库存、旧货市场价格和顾客行为等因素，运用顾客行为、定价、库存控制、博弈论等理论，建立顾客购买决策模型、企业库存与定价决策模型，然后采用动态优化、随机比较、超模等技术求解，分析以旧换新、模块架构策略对企业、顾客和社会环境的影响以及两种策略之间的相互影响。我们还将调研国内耐用品制造销售企业，对模型假设、理论结果做进一步的验证，为我国企业以旧换新和产品架构决策提供管理启示。
自动驾驶与人工驾驶车辆混行条件下的交通安全系统评价理论与方法,自动驾驶被广泛认为是车辆智能化技术发展的最高级阶段，自动驾驶技术以安全行驶为第一目标，可有效减少事故的发生，但由于自动控制策略与普通车辆不同，自动驾驶车辆可能为交通系统引入新的安全隐患。如何综合全面地评价引入自动驾驶车辆对交通系统的安全影响，正是本研究关注解决的重要科学问题。随着自动驾驶技术的兴起，必将增强自动与人工驾驶车辆的交互影响。本研究将针对这一过程中的系统安全性进行研究，采用实车实验、理论推导与系统仿真相结合的方法，从基础的微观跟驰驾驶入手，对车辆与驾驶员控制行为差异性进行建模分析；深入探讨碰撞危险的产生与传递演化机理，进而对宏观安全水平进行建模评价；对交通状况、车辆组成、自动控制策略、驾驶员特性等系统参数变化下的交通系统安全风险变化规律进行推演，绘制随着技术升级、自动驾驶普及率提高，交通系统安全水平发展演化的清晰图谱，为未来智能车发展以及智慧交通管理与服务提供理论基础与决策支持。
风险耦合效应和传染机制理论建模与实证研究,风险耦合效应和传染机制的研究涉及多重风险、多维变量及复杂的经济现象，加之依存环境的不确定性，国内外现有文献较少问及，至今尚属风险管理领域的研究难题。本项目拟以不确定性与风险为首要切入点，提炼与风险耦合效应和传染机制相关的科学问题，应用金融经济学的最新研究成果建立理论模型，采用空间计量经济学方法、时间序列统计分析及数值模拟技术（其中包括：Monte Carlo模拟、有限元与有限差分、神经网络技术和小波分析等），开展不确定性与风险的本征特质-厚尾性、时变性、异质性、非对称性和高维性研究，结合金融市场跨界发展的全球化情景，探讨风险耦合效应和传染机制的内在机理和动力学演化规律，并尝试在新古典金融学和行为金融学相融合的框架下，分析本项目研究结论偏离现实情景的内在原因，充分论证本项目研究成果的科学性、有效性、合理性、稳健性和可操作性，积极为我国金融市场的健康发展和国家经济金融的安全建言献策。
基于日内高频数据的多资产协方差估计及其预测模型构建研究,运用金融高频数据可以构建波动与协方差的“已实现估计量”、识别单资产价格跳跃与多资产联跳，为协方差建模提供了新的途径。鉴于此，本项目选取我国证券、期货、期权等金融市场的日内高频数据，在现有研究基础上，分别从已实现估计量的构建、协方差模型外生变量的选择、协方差模型结构的设计三方面进行创新。通过1）改进提出适用于中国金融市场的中、低、（超）高维协方差估计量，2）有效识别多资产价格联跳并建模分析，3）在协方差模型中合理纳入宏观经济变量、交易量、隔夜收益、跳跃与联跳（强度）等外生变量，4）为协方差模型合理引入非线性结构，5）根据中国金融市场异质性特征优化协方差多元HAR模型时间尺度结构等具体方法，改进对中国金融资产协方差的刻画能力与预测性能。本项目有助于增加对中国金融市场信息传导机制与微观结构的认知，为投资者的资产定价、资产配置与风险管理提供有效基础工具，为监管部门的政策制定与宏观监控提供决策支持。
空天协同广域目标搜索中的动态资源配置与任务规划,广域目标搜索是指探测大范围的区域以确定特定目标位置的过程，具有很强的现实背景和应用需求，MH370航班失联客机搜救就是一个典型案例。由于其具有搜索面积大、环境动态变化、不确定性强等难点，因此如何配置搜索资源和规划搜索过程以取得最好的搜索效果成为一类重要的决策与优化问题。近年来，成像卫星和无人机等航空航天平台在广域目标搜索中得到广泛应用，日益成为重要的搜索资源，并且它们在搜索能力上的互补性也促使空天协同成为先进的搜索模式。由于空天协同搜索是一种创新的应用方向，虽已开展实践探索，但在动态资源配置与任务规划等方面尚缺乏足够的理论基础和方法支撑。为此本项目将在对广域目标搜索任务建模与空天平台搜索能力建模的基础上，深入研究空天协同动态资源配置与任务规划方法，并结合具体搜索事件开展案例研究。本项目的预期成果可以拓充完善搜索论的内容体系，能够促进空天资源的优化配置和高效使用，并为决策者提供决策支持。
基于数据分析的多维不确定环境下手术室调度优化方法研究,目前我国医院手术室资源紧缺、利用效率低，与手术服务需求激增之间的供需矛盾突出，通过科学调度提高手术室的资源利用率是缓解这一矛盾的有效途径。手术室调度问题兼具数据驱动性、多资源性、多维不确定性、多参与主体性等难点，对建模与优化方法提出了新挑战。本项目拟从数据、方法和应用三个层面展开，优化资源利用率的同时提高病人、医疗团队的满意度。主要内容包括：基于医疗数据分析，对影响调度性能的关键参数进行科学估计；在术后恢复室容量限制下，针对手术过程和需求不确定性，利用关键参数构建考虑紧急病人手术等待时间阈值、术前准备/术后清理资源配置、择期病人手术取消的随机规划调度模型；通过分析模型性质，分别设计两阶段优化算法、改进多目标进化算法和分支定价切割算法；最后开展应用研究。以期在基于数据分析的多维不确定环境下的手术室调度理论和方法方面取得创新性成果，促进我国医院提高手术室资源利用水平，缓解手术服务的供需矛盾。
考虑差异分批的复杂流水车间调度问题及其分布估计算法研究,传统的流水车间调度问题已经得到了广泛的研究。本课题主要针对更贴近实际生产过程与加工特性的、考虑差异分批的复杂流水车间调度问题开展研究。复杂流水车间由多个加工阶段组成，每个加工阶段又包含若干台并行的单处理机器或批处理机器，工件的尺寸各不相同，批处理机具有容量限制，批处理机一次能够加工多个工件。我们拟考虑两类不同的评价指标，即考虑制造期、总完工时间等成本相关的优化目标，以及考虑提前/延迟、滞后工件数量等与客户满意度相关的优化目标。本课题拟分别对上述各类问题进行建模，在分析问题的计算复杂度和理论性质基础上，基于分布估计算法设计出一种混合优化算法框架。在提出的混合算法中，本课题将分别探讨概率模型的构建及其更新、与其它智能算法的融合策略、分批算法和调度批算法、嵌入的局部搜索算法等诸多方面，力求使所设计的方法在效率与效果两个方面表现优异性能。
外部组织整合、知识获取对新服务开发绩效的影响：关系质量和吸收能力的调节作用,网络环境下新服务开发具有许多不同于新产品开发的特点。企业通过有效的外部组织整合可促进知识获取，进而提升新服务开发绩效。然而，这种影响机理如何？关系质量与吸收能力有怎样的调节作用？现有研究缺乏探讨。基于此，本项目基于服务科学、社会网络、关系管理及知识管理等理论，针对现有研究的不足，深入探讨：（1）网络环境下新服务开发的模式与影响因素；（2）外部组织整合、知识获取是否显著影响新服务开发绩效？（3）这一影响路径是否受到关系质量和吸收能力的调节？（4）在此基础上，提出服务企业提升新服务开发绩效的相关策略、路径与策措施。此外，还将通过典型服务行业的案例研究对实证结果加以验证。本项目充分利用中国经济转型中服务业大发展这个独特的背景维度，挖掘出外部组织整合、知识获取、关系质量、吸收能力及新服务开发等概念更多、更有意义的理论内涵，拓展理论应用的空间，为提升我国服务业的创新绩效和竞争优势提供理论指导。
产品创新的综合集成理论与方法,在以动态变化为特征的超竞争时代，产品创新是企业核心竞争力之一。相对于常规化的生产和营销，产品创新更为复杂，更缺乏科学化、工程化和信息化的理论、方法和工具的支持。本项目根据产品创新的需要和特点，建立新的产品创新流程模型，从条件、来源、效应和特征等方面，分析产品创新的复杂性，应用处理复杂性的综合集成理论与方法，提出产品创新的综合集成理论。根据产品创新各阶段的复杂性特点，从综合集成的对象、目标、内容和形式等方面，探索相应的产品创新综合集成方法和技术。在此基础上，实现支持产品创新的信息系统，为企业产品创新提供科学化的理论、工程化的方法和信息化的系统支持。本项目的研究既是中国学派的复杂性理论在创新管理领域的一次创造性的应用，也将丰富和发展处理复杂性的综合集成理论和方法体系。
金融衍生品定价中的计量经济学分析,金融衍生品定价中的计量经济学分析是本研究项目的重点关注对象。具体来说，我们将充分运用金融衍生品交易价格数据，核心高效的计量经济学方法，对连续时间金融衍生品定价模型进行参数估计和校准等计量分析。突破以往类似研究对于仿射型等数学上较容易处理模型的依赖，我们将试图在一般的多因素随机波动率跳跃扩散过程模型框架下研究如下几个广受关注的问题，提出新的方法：一、欧式期权价格的闭型式逼近及其在模型极大似然估计中的应用；二、提出一种对于模型进行渐近校准的方法；三、模型隐含波动率曲面的闭形式逼近及其在基于隐含波动率动态面板数据的模型参数估计和校准中的应用；四、离散观测的路径依赖期权（例如，美式期权）价格的闭型式逼近及其在模型参数估计和校准中的应用。在研究中，渐近展开方法将为我们提供有力的数学工具。与此同时，我们也将进行大量的蒙特卡洛模拟测试，并基于真实数据做深刻的实证研究。
大数据联盟云服务模式研究,随着互联网的蓬勃发展，数据呈爆炸式增长，世界已进入大数据时代。大数据具有数量大、结构复杂和价值密度低等特点，单个企业由于存在数据缺口难以满足用户对大数据全面化和个性化需求。针对这一问题，本项目提出将数据供应链上不同类型企业组成具有紧密合作关系的大数据联盟，通过数据共享，实现按需使用、易拓展、计费灵活的数据云服务模式。拟将运用交易费用和价值网理论揭示大数据联盟产生机理和大数据价值增值过程，构建大数据联盟组织结构。在此基础上，应用SOA和云计算理论建立基于“联盟云”的云服务模式体系，包括数据聚合即服务、数据挖掘即服务和数据决策支持即服务的三层数据云服务模式。该模式的建立可以弥补单个企业数据缺口，提高大数据价值密度，根据用户需求提供不同层次的梯度服务，不仅使企业数据服务从分析层次提高到决策层次，对增加企业数据服务能力和竞争力具有重要的实际意义，而且对完善联盟组织和服务模式理论具有重要的理论意义。
网络化协同制造环境下线上资源的在线聚类与优化调度方法研究,新兴信息技术与制造业的深度融合，产生了网络化协同制造这一新型制造模式。网络化协同制造能够有效促进社会制造资源共享，极大提高制造企业的制造能力，对我国制造业发展具有重要的现实意义。但线上资源存在着动态性、广泛性和异构性的特点，使用过程复杂、可控性差，传统调度理论难以实现线上资源的高效利用。本项目从制造企业运作的微观角度入手，探索线上资源的在线聚类和优化利用方法。首先，分析线上资源异构性的产生机制，研究异构资源的标准化规则，进而设计高性能的资源在线聚类方法；然后，从企业订单入手分析制造资源的需求，构建线上资源的在线选择模型，研究备选线上资源的选择机制，在满足制造需求的前提下优化制造资源的配置；最后，研究线上资源和企业自有资源的组合利用方法，优化企业的制造能力、制造成本和客户服务水平，研究线上资源对企业制造系统改进效果的评价方法，为制造企业高效利用线上资源提供理论依据和方法支撑。
基于非参数方法的环境效率评价理论及应用研究,本申请首先分析现有的环境生产可能集及环境绩效评价理论模型的缺陷，在此基础上构建环境生产可能集的一般框架和新的环境效率模型，并应用Monte Carlo实验验证模型的有效性，从理论上推广现有的环境绩效模型。其次，借助于Luenberger指标思想，从非期望产出约束手段的视角，构建基于环境绩效DEA模型的Luenberger指标及其动态对偶指标并探讨了基于宏观Leontief模型的Luenberger指标与基于微观DEA模型的Luenberger指标之间的理论关系，从理论上拓展了动态环境绩效的Luenberger理论。最后，应用上述理论和模型对主要发达国家和主要发展中国家环境效率进行多维度的客观的静态评价和动态分析并进行比较研究，并使用Tobit方法分析不可控因素对不同国家环境效率的影响，为我国环境效率的提升以及经济结构的调整和发展方式的转变提供理论支撑和实践指导，从而具有极为深远的学术意义。
大规模协同环境下工程经验知识演化机制和知识积累方法,本课题旨在研究大规模协同环境下工程经验新知识产生背景下的知识演化和知识积累方法。通过对工程经验知识的规范表示和语义描述，动态聚类多领域交叉的工程经验知识关联网络，从工程需求、技术变迁、组织环境、社会网络等视角，提炼影响工程经验知识演化的关键因素；通过分析关键概念的演进历程、核心受众的发展模式、表现形式的变化方式，提取工程经验知识演化的关键节点和演化路径，进而研究工程经验知识产生、发展、更替等演化现象背后的内在规律。通过追踪多用户参与下的工程经验知识获取及转化的全过程，探究工程经验知识在组织维度和问题域维度上的概念发展和新知识产生历程，从知识属性、特征、动机、约束等角度分析工程经验知识的突变，提出更加智能和快速的大规模协同环境下工程经验知识获取新机制，针对不同演化阶段设计针对性的企业组织知识积累方法。本研究将促进企业提升工程经验知识积累效率和知识管理质量，提升知识密集型企业的竞争力和创造力。
面向互联网信贷的基于多源大数据的个人信用评分关键技术,互联网金融是互联网+时代的重要产业。然而，由于基于互联网大数据的管理与决策技术还处在起步阶段，我国的互联网金融水平较低。尤其是互联网信贷行业，由于对互联网上借贷人的信用风险的评估能力较低，导致存在较大金融风险。因此，本项目将致力于多源大数据驱动的面向互联网信贷的个人信用评分模型的研究。通过提出基于多源大数据的个人身份识别模型，改变目前业界以账户为自然人的评分模式，全面地掌握并反映出借贷人的信用风险；提出一种基于风险相关性判别的大数据特征提取方法；建立融合多源数据的混合信用评分模型。这将是信用评分理论和技术体系的创新和贡献。面对TB级的互联网信贷数据，为解决模型的可扩展性和性能问题，将研究分布式/并行式的信用评分计算方法。本项目将实现评分模型原型和信贷大数据采集平台，并在真实的产业平台上展开应用研究，检验其有效性和可行性。本项目的研究成果将为我国的大数据科技和互联网金融产业发展做出贡献。
数字化核电站中的团队协调与沟通与人机交互,"数字化核电站主控室团队绩效很大程度地受到班组成员之间的协调与沟通的影响。由于数字化对于信息的显示、分享、人机协作关系的影响,传统核电站的经验可能不适用于数字化核电站,有必要研究数字化核电站主控室团队协调与沟通的过程及其影响因素,并探索支持团队协调与沟通的人机界面设计方法。生产环境的机密性和被试样本的特殊性使得主控室团队协调与沟通的相关研究非常有限。本研究结合核电站主控室实地研究、视频分析、操纵员访谈和实验室研究,深入理解数字化的核电站班组的团队协调与沟通机制，建立核电站班组的协调与沟通行为框架，研究团队协调与沟通的评价方法，设计支持沟通与协调的创新主控室共享画面设计方案，并通过实验室试验研究共享画面设计和协同诊断方式对班组绩效和协调沟通质量的影响，结果将为数字化核电站主控室的系统和流程设计、人机界面设计、评价和培训主控室团队提供指导性意见。"
基于主题挖掘的旅游运营商个性化推荐策略及其优化研究,随着旅游业的迅猛发展和旅游运营商日益激烈的竞争，综合考虑游客偏好和旅游运营商收益水平进行个性化景点推荐具有重要的理论和现实意义。项目首先提出基于时间情境和专家意见的扩展潜在狄利克雷分布主题模型进行景点主题特征分析，同时研究考虑信任关系的游客群主题偏好，在此基础上提出针对游客群的基于主题偏好的个性化景点推荐策略。随后，针对单游客来源地和多游客来源地两种情况，分析旅游运营商开展个性化景点推荐的关键成本要素以及游客需求的随机性特征，分别提出带有机会约束的随机优化模型以及基于图扩展理论的混合整数规划模型，进行推荐策略优化研究。进一步，分别基于样本均值近似方法和切平面法提出上述两个优化模型的求解算法，并通过数值计算实验分析算法的综合性能。最后，从旅游运营商的利润水平、游客需求的满足水平以及数值计算结果的鲁棒性等方面，分析所提出的个性化景点推荐策略和优化模型的有效性以及对旅游运营商的管理启示。
